car_brand,purchase_date,purchase_value,engine_condition,no_of_buyers,fuel_type,kilometer_running,reparation_work,today_value
Toyota,2015-08-06,422221,Excellent,2,Hybrid,161202,Yes,50000
BMW,2019-07-16,1984747,Excellent,4,Hybrid,71118,No,309506
Audi,2022-01-31,761748,Poor,4,Electric,177337,No,51169
Maruti,2015-03-04,1258874,Excellent,4,Hybrid,174582,Yes,50000
Tata,2016-05-09,681198,Average,2,Petrol,183168,Yes,50000
Tata,2024-11-21,324799,Average,2,Electric,97297,No,84803
Ford,2018-05-29,2168336,Poor,4,Diesel,194416,Yes,54751
Kia,2017-02-25,1208755,Poor,3,Petrol,194131,No,50000
Honda,2023-10-14,2583890,Poor,2,Hybrid,70824,Yes,404794
Hyundai,2021-11-06,406191,Poor,5,Diesel,30075,No,50000
Honda,2020-11-10,2507910,Good,5,Electric,120717,No,316535
Audi,2019-07-02,876945,Average,1,Petrol,32848,No,108861
Toyota,2021-01-24,1025744,Average,3,Diesel,106744,No,114585
Kia,2016-02-02,2598982,Good,1,Hybrid,74933,No,222955
Maruti,2015-10-18,731088,Good,2,Hybrid,154265,No,50000
Mahindra,2022-12-19,2269436,Poor,1,Hybrid,62964,Yes,338829
Hyundai,2018-10-22,2091871,Good,2,Petrol,179106,Yes,112211
Kia,2016-03-01,2635907,Poor,4,Hybrid,156993,Yes,66775
BMW,2024-02-20,1820094,Good,2,Hybrid,47643,No,615817
Hyundai,2021-06-05,2227007,Poor,1,Diesel,178359,No,138389
Audi,2016-10-17,380856,Average,4,Diesel,164562,No,50000
BMW,2015-12-05,1254844,Good,2,Diesel,125463,Yes,65179
Ford,2017-04-29,940869,Average,5,Hybrid,54852,Yes,61928
Maruti,2017-09-05,521714,Average,3,Petrol,82196,Yes,50000
Toyota,2019-12-17,1220246,Average,3,Petrol,8287,Yes,144383
Toyota,2022-08-05,1976049,Poor,2,Electric,122491,No,233226
Kia,2018-08-04,1325912,Poor,1,Hybrid,124281,Yes,72039
Maruti,2023-08-12,300384,Poor,1,Electric,171734,Yes,50000
Audi,2018-02-22,810985,Average,4,Hybrid,25048,No,80742
Honda,2018-01-03,2358181,Good,2,Hybrid,57264,No,283199
Hyundai,2017-04-13,2084608,Average,1,Diesel,163006,No,99129
Maruti,2021-11-05,708650,Excellent,1,Hybrid,32179,No,221423
Tata,2024-10-05,707297,Excellent,2,Diesel,6986,No,345998
Tata,2016-02-06,645278,Poor,3,Petrol,180494,Yes,50000
Kia,2019-12-05,1968675,Good,5,Electric,75667,No,267114
Kia,2017-03-07,2434057,Poor,2,Electric,34727,No,178027
Tata,2017-05-14,2562232,Average,4,Hybrid,113602,Yes,137157
BMW,2024-01-25,1008864,Good,5,Electric,171631,Yes,138211
Mahindra,2024-01-04,315548,Average,3,Hybrid,6956,Yes,82814
Kia,2017-05-09,332171,Excellent,2,Hybrid,88953,No,50000
BMW,2016-10-15,2678876,Excellent,2,Electric,163865,Yes,169826
Kia,2015-09-20,1698125,Average,5,Diesel,190925,No,50000
Ford,2016-05-27,390856,Good,1,Petrol,40599,No,50000
Audi,2023-07-21,926794,Excellent,2,Electric,85981,No,308252
Kia,2017-07-05,2846135,Excellent,2,Petrol,105168,No,265639
BMW,2018-11-26,2235342,Average,2,Diesel,78765,Yes,191036
Hyundai,2017-03-25,2470115,Good,1,Electric,83431,No,260844
Honda,2017-07-16,1163153,Excellent,1,Petrol,130692,Yes,89812
Mahindra,2018-10-28,1358896,Average,1,Electric,86705,No,146510
Toyota,2021-06-18,2873199,Good,3,Petrol,88950,No,436209
Maruti,2020-04-17,477495,Good,5,Diesel,115531,Yes,50000
Honda,2017-09-30,1464986,Average,1,Diesel,162124,No,75625
Maruti,2020-01-03,1140554,Poor,2,Hybrid,99970,No,93735
Audi,2020-04-23,2642611,Poor,1,Electric,106937,Yes,221686
Toyota,2020-07-29,916600,Excellent,5,Hybrid,99343,No,139619
Honda,2019-05-22,2016991,Good,5,Diesel,135930,Yes,145597
Honda,2015-06-22,2995017,Excellent,4,Electric,180326,No,133943
Kia,2023-07-15,1263914,Poor,5,Electric,161109,No,114561
Hyundai,2022-12-15,600208,Excellent,2,Electric,138370,No,136816
Audi,2024-06-13,417080,Good,4,Petrol,19562,No,129165
Maruti,2017-10-25,2215840,Good,4,Hybrid,77834,No,211230
Ford,2022-10-23,351767,Excellent,5,Hybrid,136604,No,62748
Honda,2016-03-20,611157,Good,4,Hybrid,105964,No,50000
Maruti,2021-02-23,534257,Poor,3,Hybrid,83928,No,54100
Mahindra,2015-07-31,1339891,Good,2,Diesel,187020,Yes,50000
Mahindra,2024-10-20,1672456,Average,5,Diesel,148712,No,238736
Hyundai,2022-05-19,1991539,Excellent,4,Petrol,188506,Yes,189131
Maruti,2018-09-09,2107189,Average,5,Diesel,191593,Yes,71773
Audi,2016-10-31,2003091,Excellent,4,Electric,186095,No,106383
Hyundai,2015-02-19,2893809,Good,3,Electric,19534,No,253355
Hyundai,2024-03-18,2099498,Poor,4,Petrol,164561,No,181249
Honda,2018-11-13,1247727,Average,2,Diesel,174797,Yes,59998
Kia,2019-09-07,842293,Excellent,5,Petrol,33889,No,128767
Toyota,2017-02-16,2149321,Good,4,Electric,45203,No,223268
Ford,2015-02-08,2625101,Average,5,Electric,184401,Yes,60330
Audi,2024-03-21,1383068,Good,5,Diesel,145503,No,229216
Hyundai,2022-09-26,1167468,Good,5,Diesel,34840,No,260871
BMW,2016-02-03,1430721,Good,3,Diesel,26797,No,125762
Audi,2021-08-20,2184575,Average,4,Electric,46159,No,376394
Ford,2022-12-15,2902256,Average,5,Petrol,177989,Yes,207800
Toyota,2017-04-22,1971551,Average,2,Diesel,78205,No,144776
BMW,2024-06-24,1038418,Good,4,Diesel,70765,No,283031
BMW,2024-03-23,1026184,Excellent,5,Hybrid,186503,Yes,144055
BMW,2016-07-12,2127117,Poor,5,Electric,196092,No,50000
Ford,2017-09-03,2118514,Poor,4,Hybrid,59765,Yes,115224
Honda,2015-03-28,2164963,Average,5,Petrol,173453,Yes,50000
BMW,2019-07-18,2666202,Excellent,2,Hybrid,29106,No,550473
Honda,2018-01-02,2008727,Good,2,Electric,78413,No,233873
Mahindra,2024-05-28,434374,Average,4,Diesel,137980,Yes,59528
Toyota,2021-01-15,1584584,Good,2,Electric,147316,Yes,187464
BMW,2016-04-13,1928060,Poor,1,Electric,142279,Yes,68638
Audi,2020-05-05,2538478,Good,5,Petrol,96318,No,275567
Honda,2018-09-13,531194,Poor,5,Diesel,117811,Yes,50000
Kia,2016-07-29,2436959,Excellent,4,Hybrid,195126,Yes,96801
Mahindra,2020-10-14,2266729,Good,4,Diesel,120150,Yes,239261
Kia,2022-09-03,652501,Average,4,Electric,159385,Yes,66352
Kia,2023-10-10,2781812,Excellent,4,Electric,135081,Yes,595210
Ford,2020-12-12,2233049,Poor,3,Electric,148180,Yes,147072
Maruti,2023-12-28,1349529,Poor,3,Hybrid,147066,Yes,138197
Audi,2018-01-14,2345528,Average,3,Diesel,192137,No,89371
Tata,2021-02-22,922200,Good,1,Hybrid,167930,No,105655
Hyundai,2015-06-23,2042246,Poor,5,Hybrid,115636,No,62346
Hyundai,2024-02-02,2379909,Poor,3,Petrol,94281,No,323873
Maruti,2020-01-31,518531,Poor,3,Petrol,49222,No,50000
Kia,2020-02-17,1223025,Good,2,Diesel,164357,No,108654
BMW,2021-09-12,1326233,Excellent,3,Electric,142738,Yes,204438
BMW,2023-10-18,2074767,Poor,2,Hybrid,156074,No,227211
Honda,2024-09-13,989646,Average,4,Diesel,160083,No,136547
Honda,2019-08-08,683555,Poor,1,Petrol,153168,No,50000
Hyundai,2018-12-20,1850934,Average,3,Diesel,29892,No,205477
Toyota,2016-02-26,771532,Average,4,Petrol,107971,Yes,50000
Maruti,2015-02-10,1813607,Average,5,Hybrid,70253,No,86704
Toyota,2023-01-19,1167931,Average,2,Diesel,39958,No,255914
Kia,2018-12-17,1746417,Good,2,Diesel,141102,No,150283
Kia,2016-11-27,1444123,Good,1,Hybrid,11531,No,181394
Toyota,2023-04-04,2939286,Poor,5,Diesel,67533,Yes,338385
Honda,2016-04-23,583621,Average,1,Diesel,104298,No,50000
Tata,2020-04-21,772887,Excellent,1,Petrol,197044,Yes,56897
Honda,2023-04-23,2914260,Poor,3,Petrol,131896,No,285453
Kia,2024-03-26,958476,Poor,2,Diesel,132221,Yes,110865
Mahindra,2019-10-02,801767,Poor,2,Electric,72801,No,76294
Honda,2024-01-05,2316211,Average,5,Petrol,143815,Yes,252099
BMW,2022-09-28,1861077,Good,5,Petrol,199039,Yes,133124
Hyundai,2023-04-28,2061763,Good,5,Diesel,152702,Yes,253357
Tata,2021-05-12,1382597,Poor,3,Electric,184379,Yes,74171
Maruti,2020-01-05,1024897,Average,3,Petrol,69602,Yes,96593
Toyota,2020-04-04,1331774,Good,1,Hybrid,132987,Yes,150325
Toyota,2015-12-16,1369588,Excellent,1,Hybrid,135887,Yes,90568
BMW,2024-02-13,385463,Average,1,Hybrid,99393,Yes,78329
Kia,2019-04-19,1251220,Excellent,4,Petrol,56525,No,174635
Mahindra,2020-02-20,2047977,Poor,5,Electric,89168,No,162156
Ford,2020-07-07,517409,Good,5,Diesel,145059,No,50000
Maruti,2021-02-24,2670604,Excellent,4,Hybrid,190863,No,258125
Maruti,2015-03-20,833101,Average,5,Hybrid,191560,Yes,50000
Tata,2019-06-05,2207630,Average,1,Diesel,167645,Yes,129358
Audi,2023-10-23,2136499,Poor,1,Hybrid,74343,Yes,348304
BMW,2017-05-23,910556,Average,1,Hybrid,58393,Yes,74627
Kia,2015-11-29,1691348,Poor,2,Petrol,101259,Yes,55870
Toyota,2017-09-24,1223966,Average,3,Hybrid,163115,No,60059
Audi,2015-02-08,1403464,Average,2,Hybrid,118447,Yes,56616
Honda,2015-02-06,805304,Poor,3,Petrol,173923,No,50000
Ford,2015-10-21,2558248,Good,4,Diesel,179054,Yes,80753
Kia,2021-10-15,2215738,Poor,3,Hybrid,23742,No,318370
Tata,2024-08-24,1772162,Poor,3,Petrol,160601,Yes,161062
Toyota,2021-07-31,1990960,Excellent,5,Diesel,163274,No,228120
BMW,2017-10-08,1737735,Good,2,Petrol,111100,Yes,123033
BMW,2017-05-08,520583,Poor,1,Diesel,152266,No,50000
Kia,2020-03-30,2107710,Excellent,3,Hybrid,111783,No,321023
Tata,2019-08-15,1573314,Average,2,Hybrid,10687,No,234180
Maruti,2022-08-12,2330811,Good,5,Petrol,44729,No,458687
Toyota,2023-09-27,1430851,Average,4,Diesel,122350,Yes,192871
Maruti,2024-09-05,2337207,Excellent,4,Hybrid,116755,Yes,606008
Hyundai,2019-04-23,1736843,Poor,3,Electric,181501,Yes,68383
Audi,2018-12-07,469370,Poor,4,Petrol,60957,Yes,50000
Tata,2024-01-23,1423531,Good,1,Petrol,175634,Yes,194322
Hyundai,2021-11-06,336056,Poor,3,Electric,162735,Yes,50000
Audi,2017-12-23,2796921,Excellent,2,Diesel,80808,No,339555
Honda,2017-04-27,2644987,Good,3,Petrol,23166,No,268543
Mahindra,2024-11-25,841438,Excellent,3,Petrol,39015,No,331619
Maruti,2021-09-09,955422,Average,3,Diesel,197506,No,62652
Tata,2015-11-12,1716283,Average,5,Petrol,36721,Yes,83691
BMW,2022-05-21,2279493,Good,5,Electric,36543,No,541785
Kia,2015-04-26,2129049,Poor,1,Petrol,17470,No,106165
Hyundai,2020-08-23,922830,Poor,3,Electric,39676,No,110213
Hyundai,2015-11-23,2645010,Average,4,Hybrid,58699,No,160276
Ford,2021-07-17,300211,Average,2,Hybrid,67649,No,50000
Audi,2024-04-21,1171885,Excellent,1,Diesel,72935,No,434112
Honda,2016-07-02,2087467,Poor,2,Diesel,118071,No,82731
Toyota,2021-07-28,1600919,Poor,2,Hybrid,27549,Yes,208067
Toyota,2020-06-10,906316,Poor,2,Diesel,49662,No,93803
Hyundai,2024-08-04,2116206,Average,4,Petrol,156368,Yes,247336
Maruti,2018-02-21,1299521,Average,2,Electric,158914,Yes,70922
Kia,2024-09-25,2077294,Poor,4,Electric,20431,Yes,440456
Ford,2022-11-18,938246,Excellent,2,Diesel,185705,Yes,118665
Kia,2015-12-15,2532830,Average,1,Diesel,81967,Yes,139014
Maruti,2022-10-15,2269524,Average,5,Hybrid,10812,No,475971
Tata,2021-03-28,388319,Good,2,Hybrid,92136,No,67534
Honda,2019-02-05,843098,Excellent,1,Electric,90710,No,139880
Audi,2017-09-20,677052,Excellent,4,Diesel,76852,No,71802
Audi,2015-11-08,1222897,Excellent,3,Diesel,87134,No,96686
Maruti,2019-06-19,1987467,Excellent,4,Hybrid,116852,No,245038
Tata,2019-01-11,1573602,Poor,2,Petrol,167950,Yes,57351
Mahindra,2022-08-02,1481316,Average,3,Electric,140780,Yes,178043
BMW,2022-07-30,2431295,Good,3,Electric,54791,No,624226
Toyota,2018-03-01,2585261,Good,3,Diesel,98115,No,235234
Tata,2015-01-19,725796,Average,5,Electric,137819,Yes,50000
BMW,2015-02-16,1875323,Average,1,Hybrid,176796,Yes,54232
BMW,2021-02-20,1740380,Good,3,Hybrid,146300,Yes,187792
Audi,2020-04-24,1107041,Excellent,2,Petrol,160802,No,116462
Toyota,2022-08-30,826369,Poor,4,Petrol,45197,No,104315
Tata,2023-09-25,2393248,Good,3,Petrol,15353,No,708834
Toyota,2023-04-29,2963815,Poor,1,Petrol,70064,Yes,398150
Toyota,2016-01-09,1239319,Average,3,Hybrid,116142,Yes,55680
Hyundai,2016-01-05,1476000,Poor,4,Hybrid,57415,No,68739
Maruti,2016-10-26,1349543,Poor,2,Diesel,192008,Yes,50000
Honda,2019-09-26,1547050,Average,1,Hybrid,104184,Yes,150439
Honda,2023-03-26,966045,Excellent,2,Diesel,89273,No,264975
Audi,2021-03-17,812448,Good,1,Petrol,155285,Yes,81146
Honda,2016-12-05,1973594,Excellent,2,Electric,126827,Yes,162810
Mahindra,2024-08-21,2923979,Average,3,Hybrid,143215,No,505379
Tata,2015-07-27,1392139,Good,3,Diesel,156402,Yes,53167
Ford,2015-12-12,1184849,Poor,3,Petrol,186390,Yes,50000
Mahindra,2024-02-21,925031,Poor,2,Diesel,35549,Yes,166112
Kia,2023-07-06,1618769,Good,2,Diesel,95464,No,375825
Toyota,2021-08-17,1174183,Good,2,Hybrid,50391,No,261225
Honda,2016-07-06,1468195,Poor,2,Hybrid,164975,No,50000
Honda,2021-04-23,2122254,Poor,5,Electric,166918,No,128336
Maruti,2022-11-24,2351953,Good,3,Diesel,135686,No,376130
Ford,2017-02-28,848041,Excellent,5,Petrol,120502,No,58031
Hyundai,2023-06-24,1104984,Excellent,2,Diesel,13593,No,428777
BMW,2015-06-10,475752,Excellent,4,Petrol,84886,No,50000
Tata,2021-12-29,2161363,Excellent,4,Petrol,154215,No,280063
Toyota,2018-08-17,1708838,Excellent,3,Petrol,110484,No,176253
Tata,2022-07-01,1418248,Good,5,Petrol,43560,No,275185
Tata,2015-06-12,1710830,Excellent,2,Hybrid,38213,No,175275
Audi,2018-02-14,755181,Average,5,Petrol,135341,No,50000
Kia,2023-05-16,1536513,Poor,1,Diesel,18872,No,302717
Toyota,2020-01-16,2291469,Average,2,Hybrid,42145,No,325564
Mahindra,2023-05-22,938826,Average,5,Diesel,34925,No,186526
Honda,2015-08-30,2401803,Good,1,Hybrid,47376,No,215749
Maruti,2023-11-14,1208479,Average,2,Electric,9666,No,382778
Ford,2021-12-16,1990108,Average,3,Hybrid,181906,No,167544
Audi,2017-12-21,2764058,Good,5,Diesel,14777,No,306151
Honda,2021-06-19,2523800,Good,5,Diesel,161064,Yes,216302
Kia,2016-09-24,300872,Average,5,Diesel,46946,Yes,50000
Mahindra,2019-09-23,465217,Poor,5,Diesel,8766,No,50000
Honda,2018-12-26,885719,Average,3,Diesel,20183,Yes,91919
Toyota,2024-08-30,850835,Average,1,Electric,107884,No,213586
Toyota,2017-11-26,1129876,Poor,2,Electric,107173,No,67563
Hyundai,2023-12-19,2016372,Good,1,Electric,78696,No,650617
Mahindra,2016-12-23,2273649,Good,2,Electric,68047,No,234490
Honda,2024-07-18,2169936,Good,1,Hybrid,183435,Yes,343312
Honda,2018-11-04,450452,Good,2,Petrol,131237,Yes,50000
Maruti,2016-07-15,1002957,Excellent,5,Hybrid,156606,Yes,50949
Kia,2021-07-09,866753,Good,4,Electric,104159,Yes,127216
Maruti,2020-04-20,1066167,Average,3,Diesel,47001,No,137705
BMW,2024-04-09,2499368,Excellent,4,Petrol,96031,No,656291
Mahindra,2022-08-11,2245084,Poor,3,Electric,38775,Yes,333372
Ford,2023-07-19,2437148,Excellent,1,Hybrid,181146,Yes,401023
BMW,2016-02-20,1643235,Good,5,Diesel,33601,No,126147
Hyundai,2021-06-28,2533724,Poor,2,Petrol,14587,No,330935
Mahindra,2017-01-03,463153,Poor,4,Hybrid,74154,No,50000
Mahindra,2023-01-02,2237639,Average,3,Electric,176581,No,247968
Hyundai,2016-05-15,2364807,Good,3,Electric,143094,Yes,127429
Mahindra,2015-12-25,662338,Good,1,Electric,92616,No,54669
Tata,2022-02-20,2314945,Average,4,Electric,28096,Yes,417343
Honda,2016-08-09,1299962,Average,2,Electric,22009,Yes,108892
BMW,2021-08-20,2223324,Average,5,Diesel,172854,Yes,143408
Ford,2017-03-07,2026639,Excellent,3,Hybrid,143513,No,155932
Hyundai,2020-12-10,1451170,Excellent,1,Hybrid,86549,No,311997
Ford,2017-08-28,511526,Average,3,Hybrid,36600,Yes,50000
Honda,2024-08-07,489030,Good,2,Electric,186712,No,85088
BMW,2015-02-18,2520612,Good,4,Hybrid,127048,Yes,108820
Audi,2017-07-10,427341,Excellent,2,Diesel,68182,No,50959
Toyota,2018-09-08,1570085,Good,4,Petrol,168395,No,89379
Audi,2023-12-31,2388995,Average,4,Diesel,167756,No,277861
Honda,2024-04-18,2043074,Good,5,Electric,108030,No,482804
Mahindra,2021-10-12,2944613,Excellent,3,Hybrid,127005,Yes,476269
Hyundai,2016-03-23,2530199,Excellent,1,Petrol,136420,Yes,152436
Audi,2017-07-14,2398491,Average,3,Petrol,31280,No,195786
BMW,2021-02-28,923184,Good,4,Electric,155150,Yes,94540
Hyundai,2018-12-10,958619,Average,3,Hybrid,90390,Yes,78927
Kia,2023-02-06,1145348,Excellent,4,Hybrid,189841,No,153422
Toyota,2019-09-23,2445097,Average,1,Electric,87868,No,303680
Honda,2021-06-19,1163600,Poor,2,Petrol,21977,No,147453
Kia,2018-10-04,2214472,Excellent,3,Hybrid,43753,No,360573
Mahindra,2020-08-17,2842994,Excellent,5,Petrol,71525,No,435120
Tata,2021-07-15,2815875,Poor,1,Hybrid,107866,Yes,270101
Ford,2024-10-27,2076232,Average,2,Electric,8370,Yes,694153
Audi,2017-06-13,1313420,Poor,5,Hybrid,185580,Yes,50000
Audi,2023-08-07,477010,Good,2,Electric,119276,No,112491
Tata,2015-07-08,2759512,Average,5,Hybrid,79387,No,135310
Mahindra,2017-08-17,1335506,Poor,2,Diesel,117990,Yes,57227
Mahindra,2018-05-23,2187543,Poor,3,Diesel,68827,Yes,127711
Kia,2018-02-16,2897564,Poor,2,Electric,60708,Yes,200711
Hyundai,2015-06-06,2265728,Good,5,Diesel,145722,Yes,80782
Mahindra,2018-09-26,2163927,Good,2,Diesel,117194,No,206548
Toyota,2020-07-30,1475419,Good,4,Hybrid,115967,No,182584
Audi,2018-11-24,1157755,Good,5,Diesel,24378,No,144044
Toyota,2018-03-25,1756075,Average,2,Petrol,178413,No,76660
Toyota,2016-06-08,1750056,Poor,1,Petrol,163706,No,50506
Tata,2024-04-16,1972257,Average,1,Electric,36399,No,639407
Maruti,2015-03-27,2848353,Excellent,5,Petrol,166116,Yes,95634
BMW,2015-12-28,505073,Good,4,Petrol,72342,No,50000
Toyota,2024-11-17,2831890,Good,2,Hybrid,171572,Yes,495136
Honda,2018-11-21,2133887,Excellent,2,Diesel,30317,No,369678
Maruti,2015-06-20,1514132,Excellent,1,Diesel,25419,No,161136
Tata,2020-01-28,991209,Average,1,Hybrid,167876,Yes,68727
Mahindra,2016-09-26,540678,Poor,4,Petrol,112882,Yes,50000
BMW,2016-03-29,478543,Average,4,Electric,165395,No,50000
Audi,2019-11-10,2763043,Excellent,4,Hybrid,129140,Yes,304963
Maruti,2022-06-17,996660,Average,4,Hybrid,106925,Yes,126504
BMW,2024-10-23,2810280,Excellent,1,Electric,78784,No,1248145
Hyundai,2017-08-27,2893546,Excellent,4,Petrol,118301,No,230729
Toyota,2024-09-24,1290642,Excellent,1,Diesel,78433,No,500085
Audi,2017-05-25,770647,Excellent,2,Diesel,92558,No,80568
Tata,2019-06-10,2603303,Excellent,1,Petrol,174379,Yes,203146
Ford,2017-07-11,832629,Poor,5,Petrol,98202,No,50000
BMW,2018-06-09,2660485,Good,4,Diesel,127319,Yes,184015
Maruti,2021-04-04,2909355,Poor,4,Hybrid,28506,No,355891
Toyota,2023-05-12,516288,Average,2,Electric,51363,Yes,116022
Hyundai,2023-03-08,704099,Poor,2,Electric,55210,No,126113
Toyota,2024-09-04,2710857,Average,3,Diesel,19829,Yes,710869
Honda,2021-08-31,2946024,Average,1,Hybrid,168165,Yes,263999
Hyundai,2018-03-31,1542419,Excellent,4,Hybrid,6098,No,250314
Kia,2015-11-16,2132534,Good,4,Petrol,119534,Yes,94837
BMW,2015-11-30,2233183,Excellent,5,Petrol,45538,No,176829
Toyota,2015-10-19,467535,Poor,1,Diesel,185568,Yes,50000
Kia,2023-07-14,2754275,Good,4,Electric,51066,No,791996
Honda,2015-04-25,492900,Average,5,Electric,136274,Yes,50000
BMW,2024-07-03,1515673,Excellent,2,Petrol,28963,No,613872
Audi,2015-03-18,932118,Average,3,Petrol,100501,Yes,50000
Mahindra,2020-09-24,1281114,Excellent,4,Petrol,55617,No,226636
BMW,2018-08-06,2084799,Good,5,Hybrid,194498,Yes,90759
Honda,2021-08-17,1424174,Average,5,Diesel,178926,No,97064
Ford,2024-05-06,1010046,Good,4,Electric,80005,No,292966
Tata,2016-07-09,1141423,Excellent,3,Hybrid,49806,No,126125
Honda,2020-11-10,509530,Excellent,4,Electric,136929,No,74580
Mahindra,2021-06-21,2577963,Average,3,Petrol,32667,Yes,357426
Mahindra,2015-10-07,1834059,Excellent,2,Electric,6779,No,235573
Toyota,2021-04-25,2507804,Poor,4,Petrol,199085,Yes,90640
BMW,2015-12-19,907895,Poor,1,Petrol,141387,Yes,50000
Ford,2022-05-15,707264,Poor,3,Diesel,104881,Yes,66556
Hyundai,2022-12-07,761794,Excellent,1,Diesel,145761,Yes,138026
Hyundai,2017-02-11,2392427,Good,5,Diesel,45228,No,205906
Toyota,2023-10-24,877746,Good,4,Diesel,113262,Yes,157341
Kia,2015-06-20,2263087,Poor,2,Hybrid,43789,No,113862
Honda,2018-02-12,603934,Excellent,1,Hybrid,143194,Yes,54221
Hyundai,2019-07-28,377035,Excellent,5,Hybrid,135043,Yes,50000
Toyota,2015-05-28,559336,Poor,5,Petrol,86334,Yes,50000
Maruti,2018-10-01,2493271,Poor,5,Diesel,120932,Yes,106243
Maruti,2023-02-27,2908847,Good,1,Petrol,60933,No,732217
Maruti,2022-03-29,2678431,Poor,3,Petrol,113810,No,244258
Maruti,2023-03-03,1140557,Excellent,2,Diesel,10120,No,425967
Toyota,2016-01-08,1874402,Poor,3,Hybrid,83567,Yes,74317
Audi,2022-04-09,559032,Excellent,5,Petrol,116064,Yes,80977
Maruti,2017-06-03,1048203,Poor,4,Electric,18177,Yes,68208
Ford,2018-01-04,845299,Good,4,Electric,116351,Yes,65741
Honda,2021-11-15,2150172,Average,4,Diesel,112357,No,251180
Tata,2021-05-24,2151057,Poor,3,Diesel,92510,No,204114
Kia,2022-12-23,1950576,Excellent,3,Petrol,95659,No,440128
Ford,2024-07-04,584508,Good,1,Diesel,191699,No,88944
Tata,2022-08-25,1372565,Good,1,Petrol,155402,No,192365
Audi,2024-03-15,1962282,Good,5,Electric,100157,Yes,427929
Toyota,2024-09-05,1757838,Excellent,2,Electric,154929,No,476102
Toyota,2016-03-01,887808,Average,4,Petrol,44522,Yes,50000
BMW,2022-09-04,1802215,Average,3,Petrol,151753,Yes,168551
Maruti,2021-04-21,1644929,Poor,4,Petrol,35492,Yes,155555
Tata,2024-12-31,2735052,Good,4,Hybrid,75810,No,846315
Honda,2016-09-13,1182573,Average,2,Diesel,89146,Yes,67337
Kia,2016-05-30,2810833,Excellent,2,Electric,7750,No,399709
Kia,2016-12-12,1503910,Average,4,Diesel,153120,Yes,55555
Kia,2023-03-24,554409,Excellent,2,Hybrid,181984,No,90761
Maruti,2019-09-24,1842724,Average,5,Hybrid,78420,Yes,162069
Toyota,2023-07-17,1844666,Poor,5,Hybrid,171505,No,145716
Ford,2016-10-09,1267206,Average,4,Diesel,170511,Yes,50000
Hyundai,2022-01-11,2980957,Excellent,2,Petrol,9776,No,864418
BMW,2017-10-27,587660,Excellent,5,Petrol,74917,No,56137
Tata,2024-01-07,1264092,Excellent,3,Diesel,26322,No,484757
Maruti,2020-06-21,2797903,Average,3,Electric,58560,No,401787
Mahindra,2022-02-01,1683959,Average,3,Hybrid,106373,Yes,213626
Maruti,2024-07-10,1485850,Good,5,Diesel,120666,No,300319
Audi,2023-07-08,2568912,Poor,2,Electric,95285,No,406280
BMW,2021-04-12,2592357,Good,4,Electric,123346,Yes,330024
Mahindra,2023-06-06,1714462,Poor,2,Electric,127894,Yes,202258
Kia,2019-01-11,912743,Poor,4,Petrol,27778,Yes,61358
Mahindra,2021-07-23,2755907,Poor,2,Electric,92136,No,321891
Maruti,2019-08-07,1888996,Average,2,Diesel,117450,Yes,149158
Audi,2017-07-03,922479,Average,2,Hybrid,62979,Yes,71758
Maruti,2024-04-16,798528,Good,1,Hybrid,148749,Yes,157281
Tata,2018-10-17,699637,Average,2,Hybrid,62072,Yes,67379
BMW,2017-09-14,863860,Poor,2,Diesel,112538,Yes,50000
Ford,2022-01-15,2914372,Excellent,5,Electric,97962,No,602661
Audi,2020-03-05,1938611,Poor,2,Hybrid,126572,No,142001
Ford,2022-04-11,2908059,Average,1,Electric,35555,No,681527
Audi,2023-04-05,1764002,Poor,4,Petrol,101854,No,190813
Tata,2018-09-20,660568,Excellent,1,Electric,40492,No,127794
Hyundai,2020-12-17,2006513,Excellent,1,Hybrid,135641,Yes,299892
Tata,2015-07-04,2040485,Excellent,2,Diesel,64887,No,177746
Ford,2022-01-09,690802,Good,1,Electric,82256,No,159942
BMW,2019-08-12,1265542,Good,5,Electric,118855,No,131733
Honda,2019-10-08,1857405,Average,1,Electric,29215,Yes,266801
Toyota,2021-05-01,646839,Good,4,Petrol,80193,No,94553
Tata,2024-10-31,576807,Poor,5,Electric,183169,Yes,50000
Mahindra,2018-10-26,2004583,Poor,5,Diesel,89938,No,112584
Toyota,2018-05-17,337413,Good,1,Petrol,108190,Yes,50000
Maruti,2019-09-24,2697439,Good,2,Diesel,68956,No,382498
Maruti,2024-05-13,940121,Average,1,Diesel,90105,Yes,195055
Tata,2024-04-24,1059188,Excellent,5,Electric,161978,No,216529
Toyota,2023-02-19,2812105,Average,3,Petrol,189862,Yes,210569
BMW,2024-09-29,1283176,Poor,2,Petrol,197715,Yes,91784
Audi,2019-06-22,2521874,Good,3,Diesel,93951,No,289747
Honda,2021-05-19,2035759,Average,5,Electric,148432,Yes,170207
Ford,2015-05-08,1665891,Poor,1,Hybrid,151136,Yes,50000
Honda,2016-11-02,1703085,Good,1,Petrol,116015,No,118063
Mahindra,2020-10-19,2367459,Poor,3,Petrol,164139,No,124645
Maruti,2022-11-06,1376356,Excellent,2,Diesel,187893,Yes,169833
Honda,2023-01-21,2398036,Poor,3,Hybrid,53540,Yes,339997
Tata,2020-08-08,1130825,Excellent,5,Petrol,30028,No,203689
